Nama Masakan,Berat (gr),Kalori,Unit
Jagung Rebus,250,"90,2",1
Kentang Rebus,200,166,2
Ketan Putih,120,217,"2,75"
Ketupat,160,32,"0,5"
Lontong,200,38,"0,5"
Nasi Putih,100,175,"2,25"
Nasi Putih Kentucky,225,349,"4,25"
Roti Tawar Serat Tinggi,60,149,"1,75"
Singkong Rebus,100,146,"1,75"
Talas Rebus,100,98,"1,25"
Ubi Rebus,100,125,"1,5"
Bubur,200,44,"0,5"
Crakers,50,229,"2,75"
Makaroni,25,91,"1,25"
Mie Instant,50,168,2
Nasi Tim,100,88,1
Nasi Uduk,200,506,"6,25"
Roti Tawar,50,128,"1,5"
Bihun Goreng,150,296,"3,75"
Bubur Ayam,200,165,2
Bubur Sum-Sum,100,178,"2,25"
Kentang Goreng,150,211,"2,75"
Mie Goreng,200,321,4
Nasi Goreng,100,267,"3,25"
Soun Goreng,100,263,"3,25"
Spaghetti,300,642,8
Tape singkong,150,260,"3,25"
Arsik,95,"94,05",1
Ayam Panggang Bumbu Kuning,100,"129,4","1,5"
Ayam Panggang,100,"164,3","3,25"
Daging Panggang,70,150,"1,75"
Ikan Mas Pepes,200,"143,5","1,75"
Sambal Goreng Tempe,50,116,"1,5"
Telur Asin Rebus,75,138,"1,75"
Telur Ayam Rebus,60,97,"1,25"
Ati Ayam Goreng,50,98,"1,25"
Ayam Pop,200,265,"3,25"
Bakso Daging Sapi,100,260,"3,25"
Empal Daging,100,147,"1,75"
Ikan Bandeng Goreng,160,"180,7","2,25"
Ikan Baronang Goreng,120,"107,5","1,25"
Ikan Bawal Goreng,120,"113,3","1,5"
Ikan Ekor Goreng,100,"107,8","1,25"
Ikan Kembung Goreng,80,"87,65",1
Ikan Lele Goreng,60,"57,5","0,75"
Ikan Patin Goreng,200,"252,7",3
Ikan Selar Goreng,40,"63,75","0,75"
Ikan Tenggiri Goreng,60,"85,3",1
IkanTeri Goreng,50,66,"0,75"
Ikan Tuna Goreng,60,110,"1,25"
Kerang Rebus,100,59,"0,75"
Macaroni Schootel,50,177,"2,25"
Tahu Bacem,100,147,"1,75"
Telur Mata Sapi,60,40,"1,75"
Tempe Bacem,50,157,2
Tempe Goreng,50,118,"1,5"
Tenggiri Bumbu Kuning,90,"94,4",1
Udang Goreng Besar,80,"68,25","3,25"
Abon Sapi,50,158,2
Ayam Goreng Kecap,75,"358,8","4,5"
Ayam Panggang,80,"385,6","4,75"
Chicken Wing,50,"63,6","0,75"
Daging Balado,50,147,"1,75"
Dendeng Balado,40,338,"4,25"
Gulai Ayam,100,"165,3",2
Gulai Cumi,100,183,"2,25"
Gulai Kepala Ikan Kakap,320,"218,8","2,75"
Gulai Limpa,60,294,"3,5"
Gulai Tunjang,80,251,3
Ikan Kembung Balado,125,"236,7",3
Ikan Teri,50,213,"2,75"
Kakap Goreng Tepung,80,119,"1,5"
Kakap Panir,75,220,"2,75"
Keripik Tempe,25,68,"0,75"
Daging Cincang Bulat,50,168,2
Ayam Kentucky Paha Atas,150,"194,5","2,5"
Perkedel Jagung,50,108,"1,25"
Perkedel Kentang,50,123,"1,5"
Pu Yung Hai,50,114,"1,5"
Rendang Daging,75,"285,5","3,5"
Sate Ayam,100,466,6
Ayam Kentucky Sayap,150,116,"1,5"
Semur Ayam,50,"177,8","2,25"
Sambal Goreng Ati,100,127,"1,5"
Sambal Goreng Tempe Teri,150,276,"3,5"
Sambal Goreng Ati Sapi,100,200,"2,5"
Sambal Goreng Udang + Kentang,100,123,"1,5"
Sop Sapi,260,227,"2,75"
Tahu Goreng,100,111,"1,5"
Tahu Isi,150,124,"1,5"
Tahu Sumedang,100,113,"1,5"
Telur dadar,75,188,"2,25"
Apel,160,92,1
Apel Merah,140,82,1
Belimbing,160,80,"0,75"
Duku,200,81,1
Jambu Air,60,"35,4","0,5"
Jambu Biji,320,157,2
Jeruk Medan,140,46,"0,5"
Jeruk Pontianak,150,67,"0,75"
Jeruk Sunkist,200,40,"0,5"
Mangga Manalagi,100,72,1
Nanas,200,104,"1,25"
Pepaya,100,46,"0,5"
Pir,200,80,1
Pisang Rebus,125,"136,5","1,75"
Salak,150,"63,6","0,75"
Semangka,150,48,"0,5"
Alpukat,100,85,1
Anggur,125,60,"0,75"
Lengkeng,100,79,1
Melon,120,46,"0,5"
Mangga Harum Manis,300,90,1
Pir Hijau,200,105,"1,25"
Pisang Ambon,100,"74,2",1
Pisang Barangan,200,236,3
Pisang Mas,125,11,"1,5"
Pisang Raja,150,126,"1,5"
Sirsak,125,55,"0,25"
Durian Montong,100,134,"1,5"
Rambutan,100,69,"0,75"
sawo,100,92,"1,75"
Acar Kuning,75,53,"0,5"
Bening Bayam,50,18,"0,25"
Cah Labu Siam,100,"41,6","0,5"
Sayur Asam,100,88,1
Sop Ayam Kombinasi,100,95,"1,25"
Sop Bayam,50,78,1
Sop Kimlo,100,104,"1,25"
Sop Mutiara Jagung,100,113,"1,5"
Asop Oyong Misoa,100,106,"1,25"
Sop Telur Putuh,100,116,"1,5"
Sayur Lodeh,100,61,"0,75"
Cah Jagung Putren,100,59,"0,75"
Cah kacang Panjang,100,72,1
Sop Oyong Telur Puyuh,100,134,"1,75"
Setup Kentang Buncis,100,95,1
Tumis Buncis,100,52,"1,5"
Tumis Daun Singkong,120,151,"1,75"
Tumis Kc. Panjang + Jagung,125,118,"1,75"
Buntil,100,106,"1,25"
Gudeg,150,132,"1,75"
Asinan,250,208,"2,5"
Toge Goreng,250,243,3
Gado - Gado,150,295,"3,75"
Ketoprak,250,153,2
Pempek,200,384,"4,75"
Rawon,160,331,4
Soto Ayam,100,101,"1,25"
Soto Padang,100,127,"1,5"
Tongseng,120,331,4
Hamburger,125,257,"3,25"
Kerupuk Palembang,50,168,2
Kerupuk Udang,20,72,1
Mie Bakso,200,302,"3,75"
Nasi Tim Ayam,420,588,"7,25"
Pizza,125,163,2
Sate Kambing,180,729,9
Sayur Krecek,175,249,3
Siomay,100,361,"3,75"
Soto Betawi,150,135,"1,75"
Soto Makasar,150,525,"6,5"
Soto Sulung,150,86,1
SAMBAL HIJAU,20,45,1
SAYUR NANGKA KAPAU,100,66,1
KERUPUK KULIT,100,422,1